-------------------------------------------------------
Greedy experiments over ScaleFree
-------------------------------------------------------

--- Parameters: [1.0, 0.0, 0.0] ------ 
--- Results found ---

Seeds, Benefit, Cost
9, 778.1196166851174, 10.124999999999904
10, 787.8748430868447, 11.249999999999899
11, 773.7163637924989, 12.374999999999947
12, 809.8415089046898, 13.499999999999972
13, 803.2688223736876, 14.624999999999904
14, 814.6753160492141, 15.749999999999938
15, 825.8133481886871, 16.87500000000004
16, 834.7182066493253, 17.99999999999976
17, 827.4492838285723, 19.124999999999766
18, 821.2480828765667, 20.249999999999808
19, 853.7943987163983, 21.374999999999787
20, 839.7253939585289, 22.499999999999797
21, 827.3182413497877, 23.624999999999897
22, 855.7664739327686, 24.749999999999893
23, 852.4507098108468, 25.87499999999987
24, 837.2142411943632, 26.999999999999943
25, 878.9735700392739, 28.125000000000064
26, 881.1790764688028, 29.249999999999808
27, 882.710279831948, 30.375000000000057
28, 871.5978928517859, 31.499999999999876
29, 870.2183541547531, 32.62499999999967
30, 891.8122725371555, 33.75000000000008
31, 901.3501623433955, 34.874999999999766
32, 893.1974075685591, 35.99999999999952
33, 910.68463844357, 37.12499999999987
34, 901.8197152269861, 38.24999999999953
35, 917.8673196407883, 39.37500000000017
36, 916.0072731151097, 40.499999999999616
37, 916.1721930580434, 41.62499999999991
38, 912.4012535961476, 42.749999999999574
39, 938.9446535002862, 43.87499999999931
40, 936.0180047585725, 44.999999999999595
41, 930.0060668178927, 46.124999999999936
42, 941.2997441068088, 47.249999999999794
43, 942.4768485436789, 48.37499999999961
44, 946.9136978727372, 49.49999999999979
45, 954.4130480305688, 50.62500000000017
46, 956.4084247598106, 51.74999999999974
47, 962.424329430155, 52.87499999999981
48, 960.0284314939075, 53.999999999999886
49, 964.7645423593888, 55.12499999999951
50, 965.625064575778, 56.25000000000013
51, 970.2586212693966, 57.374999999999986
52, 964.0863563413689, 58.499999999999616
53, 972.3436897654607, 59.624999999999396
54, 966.1929814804232, 60.750000000000114
55, 981.5869215652865, 61.874999999999865
56, 980.620151815988, 62.99999999999975
57, 985.1140676822118, 64.1249999999995
58, 982.5438318608915, 65.24999999999935
59, 988.7028697544749, 66.37500000000018
60, 991.5942005996533, 67.50000000000016
61, 978.1541674492661, 68.62499999999916
62, 980.4050045810575, 69.74999999999953
63, 981.3217566033721, 70.87500000000026
64, 997.0037364894515, 71.99999999999903
65, 988.3814954171573, 73.12499999999986
66, 1009.422538219785, 74.24999999999974
67, 1000.5618079938165, 75.37499999999893
68, 1002.843309476184, 76.49999999999906
69, 1004.2903906490508, 77.62499999999936
70, 993.9117021060404, 78.75000000000034
71, 1028.6949167524358, 79.87499999999946
72, 1012.657235662675, 80.99999999999923
73, 1026.9493070584228, 82.12499999999908
74, 988.5164616142563, 83.24999999999982
75, 1010.5563109776656, 84.3749999999995
76, 1010.4077853954375, 85.49999999999915
77, 1025.1936536398002, 86.6250000000002
78, 1028.2838070312157, 87.74999999999862
79, 1029.9716942479538, 88.87499999999935
80, 1027.1790755698814, 89.99999999999919
81, 1025.5586050246472, 91.1250000000003
82, 1033.5510279092027, 92.24999999999987
83, 1051.2301035530031, 93.3749999999989
84, 1021.1325722424772, 94.49999999999959
85, 1055.6795657536873, 95.62499999999986
86, 1054.1418426455896, 96.74999999999922
87, 1039.7470862605498, 97.87499999999905
88, 1047.4425827684222, 98.99999999999957
89, 1037.773360199449, 100.12499999999974
