-------------------------------------------------------
Greedy experiments over SmallWorld
-------------------------------------------------------

--- Parameters: [1.0, 0.0, 0.0] ------ 
--- Results found ---

Seeds, Benefit, Cost
7, 679.8568849586017, 7.874999999999969
8, 715.8019652825101, 8.99999999999988
9, 781.3710324580109, 10.124999999999904
10, 800.8159212762109, 11.249999999999899
11, 827.7990736176359, 12.374999999999947
12, 843.0667497607419, 13.499999999999972
13, 865.4403012796304, 14.624999999999904
14, 890.8421791013272, 15.749999999999938
15, 903.5123772827253, 16.87500000000004
16, 904.9644051732972, 17.99999999999976
17, 934.2020431258157, 19.124999999999766
18, 941.5011758857854, 20.249999999999808
19, 922.2589444344942, 21.374999999999787
20, 962.472939138493, 22.499999999999797
21, 974.5910683325698, 23.624999999999897
22, 973.1536348857942, 24.749999999999893
23, 985.6950101761619, 25.87499999999987
24, 997.5478536351802, 26.999999999999943
25, 999.4993822685352, 28.125000000000064
26, 1024.3766287834317, 29.249999999999808
27, 1027.7042139485673, 30.375000000000057
28, 1028.6263282612179, 31.499999999999876
29, 1059.9427299230072, 32.62499999999967
30, 1068.2187148939063, 33.75000000000008
31, 1067.3857321657345, 34.874999999999766
32, 1086.599191930229, 35.99999999999952
33, 1076.693711279972, 37.12499999999987
34, 1090.1054053004402, 38.24999999999953
35, 1104.243669281466, 39.37500000000017
36, 1093.790690543065, 40.499999999999616
37, 1109.0291732843318, 41.62499999999991
38, 1121.74651585741, 42.749999999999574
39, 1115.4342305890914, 43.87499999999931
40, 1119.979229019326, 44.999999999999595
41, 1141.0048446644453, 46.124999999999936
42, 1151.9462985044938, 47.249999999999794
43, 1174.9663599019807, 48.37499999999961
44, 1174.5737613388371, 49.49999999999979
45, 1182.011585360118, 50.62500000000017
46, 1186.3398987691735, 51.74999999999974
47, 1191.5783932992103, 52.87499999999981
48, 1193.5056120964925, 53.999999999999886
49, 1191.1207949188124, 55.12499999999951
50, 1208.0013887145565, 56.25000000000013
51, 1225.0205380675777, 57.374999999999986
52, 1209.492382354882, 58.499999999999616
53, 1216.2551944916263, 59.624999999999396
54, 1222.5335088008342, 60.750000000000114
55, 1217.5527040820798, 61.874999999999865
56, 1214.097749370715, 62.99999999999975
57, 1229.0478766033714, 64.1249999999995
58, 1244.5906696468282, 65.24999999999935
59, 1241.7172563460256, 66.37500000000018
60, 1249.6167356030542, 67.50000000000016
61, 1257.55616715611, 68.62499999999916
62, 1246.2604648572947, 69.74999999999953
63, 1259.438385062696, 70.87500000000026
64, 1268.5917080720274, 71.99999999999903
65, 1271.2356910334743, 73.12499999999986
66, 1270.7939042629798, 74.24999999999974
67, 1284.3558233920667, 75.37499999999893
68, 1271.4500211006118, 76.49999999999906
69, 1285.6259736395664, 77.62499999999936
70, 1275.2466005935837, 78.75000000000034
71, 1278.863011201449, 79.87499999999946
72, 1289.6069439028893, 80.99999999999923
73, 1286.1947034825482, 82.12499999999908
74, 1292.523164169822, 83.24999999999982
75, 1303.0737631750599, 84.3749999999995
76, 1294.0584375001022, 85.49999999999915
77, 1296.3387999849, 86.6250000000002
78, 1295.5616628170424, 87.74999999999862
79, 1295.9723076518626, 88.87499999999935
80, 1297.3762637424652, 89.99999999999919
81, 1318.3950331612682, 91.1250000000003
82, 1302.0036633327852, 92.24999999999987
83, 1302.0846950623159, 93.3749999999989
84, 1294.3816398321328, 94.49999999999959
85, 1315.8091975498767, 95.62499999999986
86, 1315.0886681414172, 96.74999999999922
87, 1309.765943450679, 97.87499999999905
88, 1306.491164266585, 98.99999999999957
89, 1307.0783633840765, 100.12499999999974
90, 1306.1759197787917, 101.25000000000034
91, 1312.5610378307972, 102.37499999999868
92, 1321.3854654355064, 103.49999999999947
93, 1306.178396006221, 104.62499999999989
94, 1314.9823012640643, 105.74999999999962
95, 1316.1424967214807, 106.87499999999991
96, 1324.0871046856594, 107.99999999999977
97, 1318.7936527121915, 109.12499999999957
98, 1319.8899225231185, 110.24999999999902
99, 1326.789174473724, 111.375
100, 1327.2714322492677, 112.50000000000026
101, 1327.9804102844778, 113.62499999999962
--- Parameters: [0.0, 0.0, 1.0] ------ 
--- Results found ---

Seeds, Benefit, Cost
1, 332.35426527102715, 1.124999999999985
2, 473.8098095451536, 2.24999999999997
3, 553.565662814643, 3.374999999999993
4, 590.7554563789764, 4.49999999999994
5, 610.6530835362681, 5.624999999999949
6, 665.4260908127478, 6.749999999999986
7, 699.6774593088464, 7.874999999999969
8, 738.5107495929032, 8.99999999999988
9, 764.2697787328774, 10.124999999999904
10, 794.3672268925413, 11.249999999999899
11, 821.2287856640627, 12.374999999999947
12, 820.8733937792488, 13.499999999999972
13, 847.9345655168615, 14.624999999999904
14, 825.7906480463702, 15.749999999999938
15, 886.7162519095109, 16.87500000000004
16, 878.5199756721765, 17.99999999999976
17, 887.2959412487684, 19.124999999999766
18, 908.2532032773843, 20.249999999999808
19, 916.1280535629139, 21.374999999999787
20, 938.0419260067938, 22.499999999999797
21, 937.9836465598207, 23.624999999999897
22, 953.0200990654645, 24.749999999999893
23, 971.983079009509, 25.87499999999987
24, 973.1831209346695, 26.999999999999943
25, 993.8760972078923, 28.125000000000064
26, 988.2629764871978, 29.249999999999808
27, 1007.292158645866, 30.375000000000057
28, 1022.2335186537497, 31.499999999999876
29, 1032.6921022303472, 32.62499999999967
30, 1041.4169885378856, 33.75000000000008
31, 1052.7918943106406, 34.874999999999766
32, 1056.4675807216968, 35.99999999999952
33, 1062.8798451310702, 37.12499999999987
34, 1082.5054552152255, 38.24999999999953
35, 1071.024567199693, 39.37500000000017
36, 1081.2324473925858, 40.499999999999616
37, 1093.8865764083237, 41.62499999999991
38, 1095.989829121978, 42.749999999999574
39, 1105.1621195076796, 43.87499999999931
40, 1122.9625823004258, 44.999999999999595
41, 1114.5419578662318, 46.124999999999936
42, 1124.7806929338922, 47.249999999999794
43, 1125.878898361802, 48.37499999999961
44, 1138.564799571894, 49.49999999999979
45, 1143.9507388566335, 50.62500000000017
46, 1161.9090866738811, 51.74999999999974
47, 1164.6188066385755, 52.87499999999981
48, 1183.2216976147802, 53.999999999999886
49, 1176.045598901165, 55.12499999999951
50, 1188.404466827548, 56.25000000000013
51, 1193.8150417820011, 57.374999999999986
52, 1196.1782446078312, 58.499999999999616
53, 1197.910819500848, 59.624999999999396
54, 1198.735181213383, 60.750000000000114
55, 1201.931082100244, 61.874999999999865
56, 1199.069262741375, 62.99999999999975
57, 1213.4013782600155, 64.1249999999995
58, 1220.4411641071513, 65.24999999999935
59, 1207.4480271079265, 66.37500000000018
60, 1205.9417199122208, 67.50000000000016
61, 1218.7782511749242, 68.62499999999916
62, 1221.876423452867, 69.74999999999953
63, 1236.5352125164393, 70.87500000000026
64, 1229.8616906954508, 71.99999999999903
65, 1232.689457215175, 73.12499999999986
66, 1224.6801123089112, 74.24999999999974
67, 1244.165172514859, 75.37499999999893
68, 1233.3255721289133, 76.49999999999906
69, 1238.1033693870356, 77.62499999999936
70, 1235.027466133312, 78.75000000000034
71, 1236.8680703587054, 79.87499999999946
72, 1261.1422913810445, 80.99999999999923
73, 1262.5804699888035, 82.12499999999908
74, 1257.2427088820716, 83.24999999999982
75, 1260.843742616726, 84.3749999999995
76, 1251.2125399851316, 85.49999999999915
77, 1269.1146143051208, 86.6250000000002
78, 1264.2004198206344, 87.74999999999862
79, 1264.4503615013243, 88.87499999999935
80, 1266.2880919290703, 89.99999999999919
81, 1275.5119215380012, 91.1250000000003
82, 1277.7661657217418, 92.24999999999987
83, 1285.8112625366543, 93.3749999999989
84, 1281.2191213501715, 94.49999999999959
85, 1280.6033379983537, 95.62499999999986
86, 1284.9475051978407, 96.74999999999922
87, 1280.2038396616658, 97.87499999999905
88, 1271.341720789083, 98.99999999999957
89, 1277.4937146852467, 100.12499999999974
90, 1273.4837227285566, 101.25000000000034
91, 1284.9032094420768, 102.37499999999868
92, 1278.680700426034, 103.49999999999947
93, 1286.272650734101, 104.62499999999989
94, 1281.1689736047754, 105.74999999999962
95, 1289.6033428413355, 106.87499999999991
96, 1287.0654909250413, 107.99999999999977
97, 1292.4271474714265, 109.12499999999957
98, 1294.4388360462337, 110.24999999999902
99, 1296.3895860530988, 111.375
100, 1301.0866505222334, 112.50000000000026
101, 1288.629377190209, 113.62499999999962
--- Parameters: [0.33, 0.33, 0.33] ------ 
--- Results found ---

Seeds, Benefit, Cost
1, 332.35426527102715, 1.124999999999985
2, 473.8098095451536, 2.24999999999997
3, 553.565662814643, 3.374999999999993
4, 590.7554563789764, 4.49999999999994
5, 653.761729756211, 5.624999999999949
6, 665.4260908127478, 6.749999999999986
7, 699.6774593088464, 7.874999999999969
8, 738.5107495929032, 8.99999999999988
9, 787.9390798156818, 10.124999999999904
10, 794.3672268925413, 11.249999999999899
11, 821.2287856640627, 12.374999999999947
12, 820.8733937792488, 13.499999999999972
13, 847.9345655168615, 14.624999999999904
14, 861.8130687259818, 15.749999999999938
15, 854.232208456435, 16.87500000000004
16, 898.4833842261835, 17.99999999999976
17, 892.7259595051075, 19.124999999999766
18, 908.2532032773843, 20.249999999999808
19, 910.5116618284341, 21.374999999999787
20, 938.0419260067938, 22.499999999999797
21, 946.2539725151876, 23.624999999999897
22, 956.5878607624303, 24.749999999999893
23, 957.3499752118657, 25.87499999999987
24, 983.3153495178151, 26.999999999999943
25, 993.8760972078923, 28.125000000000064
26, 1002.6544677638427, 29.249999999999808
27, 1012.5308540078792, 30.375000000000057
28, 1012.3436284363504, 31.499999999999876
29, 1019.0812021082995, 32.62499999999967
30, 1028.353348503077, 33.75000000000008
31, 1067.4022801934798, 34.874999999999766
32, 1065.852390488672, 35.99999999999952
33, 1060.0509191912681, 37.12499999999987
34, 1080.6337027625173, 38.24999999999953
35, 1101.7388803008027, 39.37500000000017
