-------------------------------------------------------
Greedy experiments over ScaleFree
-------------------------------------------------------

--- Parameters: [1.0, 0.0, 0.0] ------ 
--- Results found ---

Seeds, Benefit, Cost
10, 771.2622154131061, 11.249999999999899
11, 770.1986808227874, 12.374999999999947
12, 774.3417341283314, 13.499999999999972
13, 778.8560136088578, 14.624999999999904
14, 778.0969610354505, 15.749999999999938
15, 769.3188338773655, 16.87500000000004
16, 769.9048039042193, 17.99999999999976
17, 763.7162656527278, 19.124999999999766
18, 763.2190074694129, 20.249999999999808
19, 766.1385448418207, 21.374999999999787
20, 763.5699050521386, 22.499999999999797
21, 768.3451539430854, 23.624999999999897
22, 767.7991857853192, 24.749999999999893
23, 757.822278104568, 25.87499999999987
24, 759.2011926017631, 26.999999999999943
25, 758.2584056053241, 28.125000000000064
26, 760.7616246199821, 29.249999999999808
27, 751.8351165002247, 30.375000000000057
28, 754.7208605631997, 31.499999999999876
29, 751.401846858332, 32.62499999999967
30, 755.1425915090101, 33.75000000000008
31, 749.820956594123, 34.874999999999766
32, 745.9640148888479, 35.99999999999952
33, 748.2152167612651, 37.12499999999987
34, 746.203685201944, 38.24999999999953
35, 746.6553818796165, 39.37500000000017
36, 747.1320168500479, 40.499999999999616
37, 743.1237864809356, 41.62499999999991
38, 743.6306973393573, 42.749999999999574
39, 740.5223278989284, 43.87499999999931
40, 745.411707046472, 44.999999999999595
41, 740.3024528549479, 46.124999999999936
42, 741.9641468128863, 47.249999999999794
43, 741.9880010428026, 48.37499999999961
44, 739.6817818321327, 49.49999999999979
45, 739.6591508402705, 50.62500000000017
46, 739.4923210922166, 51.74999999999974
47, 733.9493810226301, 52.87499999999981
48, 736.5287626954282, 53.999999999999886
49, 737.2595281994577, 55.12499999999951
50, 732.9405893933256, 56.25000000000013
51, 733.7100809220215, 57.374999999999986
52, 729.1954187197019, 58.499999999999616
53, 729.7185076735011, 59.624999999999396
54, 734.2318284471878, 60.750000000000114
55, 728.916766454187, 61.874999999999865
56, 731.8454840683478, 62.99999999999975
57, 729.3856336493354, 64.1249999999995
58, 731.4373822085485, 65.24999999999935
59, 727.5111156953001, 66.37500000000018
60, 726.1186346393727, 67.50000000000016
61, 728.6160163062325, 68.62499999999916
62, 727.4991154722321, 69.74999999999953
63, 723.5590232683222, 70.87500000000026
64, 723.6503671435034, 71.99999999999903
65, 723.6121192188556, 73.12499999999986
66, 720.6629821462416, 74.24999999999974
67, 722.3801638504535, 75.37499999999893
68, 723.1065246208767, 76.49999999999906
69, 721.3068353188434, 77.62499999999936
70, 720.257100768637, 78.75000000000034
71, 714.9328999460523, 79.87499999999946
72, 715.3146895299514, 80.99999999999923
73, 718.7976543109713, 82.12499999999908
74, 714.7097374689112, 83.24999999999982
75, 715.1277925408817, 84.3749999999995
76, 712.0418016756576, 85.49999999999915
77, 712.8655189987024, 86.6250000000002
78, 713.2331688006093, 87.74999999999862
79, 709.8049439382991, 88.87499999999935
80, 710.1779494215691, 89.99999999999919
81, 709.6119541703513, 91.1250000000003
82, 707.875746320706, 92.24999999999987
83, 705.3132808569987, 93.3749999999989
84, 703.8424725766037, 94.49999999999959
85, 707.5309068835102, 95.62499999999986
86, 707.3956046973116, 96.74999999999922
87, 710.469483991674, 97.87499999999905
88, 706.0054296516032, 98.99999999999957
89, 707.0459743440293, 100.12499999999974
90, 701.8000656626516, 101.25000000000034
91, 706.6950260478794, 102.37499999999868
92, 703.5865111173393, 103.49999999999947
93, 707.9428482800761, 104.62499999999989
94, 702.0642280523977, 105.74999999999962
95, 704.105166276274, 106.87499999999991
96, 701.8296862269071, 107.99999999999977
97, 701.4555933858506, 109.12499999999957
98, 699.2969108038061, 110.24999999999902
99, 699.8055635689725, 111.375
100, 696.8427374400947, 112.50000000000026
101, 695.6778925787341, 113.62499999999962
--- Parameters: [0.0, 0.0, 1.0] ------ 
--- Results found ---

Seeds, Benefit, Cost
1, 465.1747244028067, 1.124999999999985
2, 520.8687683710474, 2.24999999999997
3, 517.9498723010405, 3.374999999999993
4, 528.2037130256828, 4.49999999999994
5, 532.8213769133201, 5.624999999999949
6, 542.4642863582669, 6.749999999999986
7, 546.953275429396, 7.874999999999969
8, 534.5133697985641, 8.99999999999988
9, 552.3091600797025, 10.124999999999904
10, 549.5657255290171, 11.249999999999899
11, 546.1312161816975, 12.374999999999947
12, 552.4015336858137, 13.499999999999972
13, 566.9136157254086, 14.624999999999904
14, 567.5913086254438, 15.749999999999938
15, 558.5005109840743, 16.87500000000004
16, 553.567416576378, 17.99999999999976
17, 561.6862418056087, 19.124999999999766
18, 556.989630373897, 20.249999999999808
19, 567.1594227911338, 21.374999999999787
20, 571.5775789808582, 22.499999999999797
21, 572.0257362491973, 23.624999999999897
22, 562.4207481684589, 24.749999999999893
23, 574.5668283633165, 25.87499999999987
24, 562.3168109626064, 26.999999999999943
25, 576.287850223698, 28.125000000000064
26, 574.1981488739909, 29.249999999999808
27, 582.5758094212919, 30.375000000000057
28, 569.1054711364978, 31.499999999999876
29, 577.2368325963766, 32.62499999999967
30, 577.4644931602662, 33.75000000000008
31, 582.8907934366691, 34.874999999999766
32, 589.4004899657174, 35.99999999999952
33, 583.610956732938, 37.12499999999987
34, 589.5036603012917, 38.24999999999953
35, 594.4719561539894, 39.37500000000017
36, 588.3085434298351, 40.499999999999616
37, 583.9051535406245, 41.62499999999991
38, 590.4231866596499, 42.749999999999574
39, 596.8029161888498, 43.87499999999931
40, 583.8370802635716, 44.999999999999595
41, 586.1655901542914, 46.124999999999936
42, 593.6677288579097, 47.249999999999794
43, 591.9950284984684, 48.37499999999961
44, 607.7395134208025, 49.49999999999979
45, 604.7603374667895, 50.62500000000017
46, 589.4941431093783, 51.74999999999974
47, 596.8676687026, 52.87499999999981
48, 598.3742981046602, 53.999999999999886
49, 606.2493622904364, 55.12499999999951
50, 607.1564522623733, 56.25000000000013
51, 611.8526097777728, 57.374999999999986
52, 600.2587896514991, 58.499999999999616
53, 625.9280557007711, 59.624999999999396
54, 618.9587103517176, 60.750000000000114
55, 610.8407089434165, 61.874999999999865
56, 613.4301405143772, 62.99999999999975
57, 622.1391596646679, 64.1249999999995
58, 618.1793272224706, 65.24999999999935
59, 621.7224235122351, 66.37500000000018
60, 617.8700358435023, 67.50000000000016
61, 624.1944199547781, 68.62499999999916
62, 621.9395351427085, 69.74999999999953
63, 622.0578918062622, 70.87500000000026
64, 622.4424716271319, 71.99999999999903
65, 617.8388264541467, 73.12499999999986
66, 623.7345598490272, 74.24999999999974
67, 623.4908172459333, 75.37499999999893
68, 630.2485830149853, 76.49999999999906
69, 622.4341206015545, 77.62499999999936
70, 615.2012744339156, 78.75000000000034
71, 619.5199419614685, 79.87499999999946
72, 624.535494797072, 80.99999999999923
73, 624.1870221153878, 82.12499999999908
74, 624.4662284154961, 83.24999999999982
75, 632.8436214424707, 84.3749999999995
76, 621.6222066880413, 85.49999999999915
77, 634.8960377565022, 86.6250000000002
78, 628.0825926103835, 87.74999999999862
79, 625.8868870223423, 88.87499999999935
80, 621.2041610117242, 89.99999999999919
